NAME	ADDRESS	ZIP	SSN	SEX	MARITALSTATUS	CHILDREN	OCCUPATION	HOMEOWNERSHIP	INCOME	EXPENSES	CHECKING	SAVINGS	MSTRCARD	VISA	AMEX	MERCHANT	PAYMENTHISTORY
Gary Waxman	550 Cordova Lane	99956	458-64-6851	M	M	1	Professional	O	2444	659	Y	Y	3	4	1	9	1
Samuel Goldberg	610 Prospect Lane	99904	236-80-6957	M	S	1	Professional	O	2489	622	N	N	2	4	1	3	2
Terrence Baker	873 Forest St.	99900	111-32-4456	M	S	1	Professional	O	2068	517	N	Y	2	4	1	9	3
Robert Fraser	285 Prospect Lane	99903	194-01-8760	M	M	2	Skilled	O	2357	824	N	Y	1	4	0	9	2
Jerry Waxman	181 Glen View Drive	99908	149-37-4590	M	M	1	Unknown	R	2844	1137	N	Y	1	4	0	9	1
Samuel Silverman	785 Green Street	99960	392-90-1389	M	M	0	Unknown	O	2050	717	N	Y	2	3	1	9	2
Hope Lewis	48 Rose Court	99900	481-05-2737	F	M	0	Unknown	O	2301	920	N	Y	1	3	0	9	0
Hope Farmer	515 Cordova Lane	99970	441-36-3170	F	M	2	Unskilled	O	2015	806	N	Y	1	3	0	9	3
Fred Anthony	1022 Main Street	99906	303-41-7606	M	W	1	Unknown	R	2236	894	N	Y	1	3	0	9	3
Ernest Steinman	96 Cordova Lane	99900	158-05-7842	M	M	2	Unknown	R	2448	856	N	Y	1	2	0	9	1
Mike Coriano	982 Mayfield Drive	99944	411-07-0718	M	S	0	Unknown	O	2213	774	N	Y	1	2	0	9	3
Fred Waxman	725 Main Street	99915	434-58-6751	M	M	1	Unknown	O	2201	506	N	Y	1	2	0	9	3
Alex Steinman	1011 River Road	99930	476-90-6666	M	W	1	Unknown	R	8205	2215	N	Y	1	5	0	9	2
Carol Silverman	490 Park Avenue	99920	170-55-5491	F	M	1	Skilled	O	6645	1794	N	Y	2	4	3	9	4
Gary Coriano	108 Park Avenue	99900	423-05-6404	M	M	1	Professional	O	7997	2399	N	Y	2	3	0	9	1
John Gorman	196 Del Mar Blvd.	99960	445-70-4134	M	M	2	Manager	O	4779	1433	Y	N	2	5	2	0	4
Sarah Baker	71 Lake Street	99930	362-49-1191	F	M	2	Manager	O	4667	1400	N	Y	1	5	0	9	4
Terrence Baker	720 Forest St.	99900	224-54-1751	M	M	0	Unknown	R	5896	2358	N	Y	1	5	0	9	1
Gary Smith	626 Park Avenue	99910	139-20-1220	M	M	2	Manager	O	4321	1296	N	Y	1	4	0	9	4
Sarah Smith	567 Glen View Drive	99924	457-26-6595	F	W	1	Manager	O	3662	1098	Y	Y	2	5	2	9	4
Samuel Goldberg	809 Green Street	99960	132-75-2993	M	M	1	Professional	O	3484	940	Y	Y	2	5	0	9	0
Anthony Jones	238 Prospect Lane	99904	169-46-6218	M	M	1	Manager	O	3961	1386	N	Y	1	5	0	9	1
Gary Steinman	196 Main Street	99912	175-54-5364	M	M	1	Unknown	O	3279	1147	Y	Y	3	4	1	0	3
Fred Brown	975 Rose Court	99912	201-36-4145	M	M	2	Manager	O	3703	925	N	Y	1	4	0	9	3
Terrence Jones	364 Prospect Lane	99904	384-68-0007	M	M	1	Unknown	R	3113	1245	N	Y	1	4	0	9	5
Ernest Lewis	753 High View Road	99921	388-97-4481	M	M	1	Unknown	O	3574	964	N	N	3	3	3	0	3
Mike Coriano	971 Glen View Drive	99940	217-40-3043	M	M	1	Manager	O	3127	938	N	Y	1	3	0	9	3
Carol Lewis	876 Maple Lane	99900	269-57-9288	F	M	0	Unknown	R	3520	1408	N	Y	2	2	1	0	2
Faith Anthony	252 Maple Lane	99900	457-50-3633	F	M	2	Professional	O	3591	1077	N	Y	2	2	3	9	4
Sarah Brown	259 Lake Street	99906	268-57-4957	F	M	2	Professional	O	3075	830	N	Y	1	2	0	9	5
Robert Brewster	1021 Green Street	99912	428-29-6037	M	M	0	Unknown	R	2811	1124	N	Y	3	5	3	9	2
Ernest Waxman	674 Rose Court	99908	314-13-3906	M	M	1	Unknown	R	2949	1179	N	Y	3	5	1	9	2
Alex Farmer	381 High View Road	99921	208-87-8320	M	W	1	Unknown	O	2450	980	N	N	2	5	0	0	2
Terrence Anthony	0 Prospect Lane	99900	483-22-6277	M	M	2	Skilled	O	2425	727	N	Y	2	5	2	9	4
Terrence Gorman	18 River Road	99900	254-39-8571	M	M	1	Unknown	O	2391	956	N	Y	1	5	0	9	1
Alex Goldberg	830 Broad Street	99904	146-07-0968	M	M	0	Unknown	R	2343	937	N	Y	1	5	0	9	1
John Fraser	840 Cordova Lane	99900	148-43-4310	M	M	0	Unknown	O	2857	1142	N	Y	1	5	0	9	2
Fred Silverman	651 River Road	99930	320-03-0031	M	M	0	Unknown	O	2392	956	N	Y	1	5	0	9	4
Terrence Steinman	593 Park Avenue	99925	251-79-7503	M	S	3	Skilled	R	2367	828	N	Y	1	5	0	9	4
Gary Baker	653 Lake Street	99930	406-48-5424	M	M	0	Unknown	O	2188	875	N	Y	1	5	0	9	0
Jerry Goldberg	131 River Road	99950	414-46-0148	M	S	1	Unskilled	R	2501	625	N	Y	1	4	0	9	1
Alex Gorman	435 High View Road	99921	211-85-9907	M	M	3	Unknown	O	2471	864	N	Y	1	4	0	9	2
Ernest Goldberg	567 Prospect Lane	99903	241-41-3756	M	S	1	Unknown	R	2764	1105	N	Y	1	4	0	9	4
Robert Anthony	10 Maple Lane	99936	413-48-1658	M	M	1	Skilled	O	2597	701	N	N	2	3	1	9	3
Robert Brown	56 Mayfield Drive	99922	200-07-8119	M	M	3	Manager	O	2103	567	N	Y	1	3	0	0	1
Mike Steinman	824 Rose Court	99908	394-35-1427	M	M	2	Skilled	O	2817	760	Y	Y	2	2	1	9	7
Jerry Silverman	67 Maple Lane	99909	130-20-0174	M	W	1	Professional	R	2071	828	N	Y	2	2	2	0	0
Mike Gorman	923 Cordova Lane	99970	377-88-5709	M	W	1	Unknown	R	2077	830	N	Y	1	2	0	9	3
Mike Anthony	807 Main Street	99909	359-27-6292	M	M	0	Unknown	R	2666	933	N	Y	1	2	0	9	5
Gary Brewster	782 Hill Avenue	99926	297-73-3106	M	M	1	Professional	O	2276	569	N	Y	1	2	0	9	3
Joan Jones	757 Main Street	99903	321-02-2220	F	W	0	Unknown	O	2211	884	N	Y	1	2	0	9	3
Fred Silverman	680 Prospect Lane	99902	228-25-3221	M	M	2	Skilled	O	2414	724	N	N	2	1	1	4	1
Alex Brown	869 Hill Avenue	99965	499-35-0472	M	M	2	Professional	O	5617	1685	N	Y	1	4	0	9	1
Gary Coriano	500 Main Street	99906	334-68-0254	M	M	1	Professional	O	5467	1913	N	Y	1	4	0	9	1
Gary Brown	292 Park Avenue	99920	250-53-3278	M	M	2	Professional	O	3313	993	N	Y	1	5	0	9	4
Sarah Farmer	916 High View Road	99928	113-19-0226	F	M	1	Skilled	O	3595	898	N	N	3	4	3	9	1
Fred Fraser	12 Main Street	99900	110-49-3319	M	M	2	Skilled	O	3007	1052	N	Y	1	4	0	9	4
Terrence Brewster	187 Glen View Drive	99908	210-39-0652	M	M	0	Unknown	O	3277	1146	N	Y	1	3	0	9	2
Terrence Baker	0 High View Road	99900	163-03-7349	M	M	2	Skilled	O	3282	886	N	Y	1	2	0	9	2
Fred Brown	517 Park Avenue	99905	336-09-2117	M	W	0	Unknown	O	3659	1463	N	Y	1	1	0	9	1
Ernest Brewster	234 Green Street	99900	191-19-6237	M	M	2	Skilled	R	3766	1016	N	Y	1	1	0	9	3
Faith Lewis	423 Glen View Drive	99924	207-59-2005	F	W	2	Unknown	O	2039	815	N	Y	2	5	1	0	2
Joan Jones	270 Park Avenue	99900	462-52-1960	F	M	2	Unknown	O	2953	1181	N	Y	1	5	0	9	2
John Fraser	287 Prospect Lane	99905	227-34-5686	M	M	1	Skilled	R	2650	1060	N	Y	1	5	0	9	0
Mike Jones	1005 Glen View Drive	99924	321-50-0336	M	W	1	Professional	O	2475	990	N	Y	1	5	0	9	5
Terrence Steinman	254 Prospect Lane	99902	217-87-9586	M	M	3	Professional	O	2083	624	N	Y	1	5	0	9	4
Anthony Brewster	23 Cordova Lane	99970	444-51-7461	M	W	0	Unknown	R	2513	879	N	Y	1	5	0	9	3
Alex Brewster	785 Del Mar Blvd.	99975	394-94-0098	M	M	0	Unknown	R	2241	896	N	Y	1	5	0	9	2
Terrence Baker	713 Lake Street	99930	332-20-3959	M	W	1	Unknown	O	2041	816	N	Y	1	5	0	9	4
Hope Steinman	921 Maple Lane	99927	101-80-2014	F	W	1	Professional	O	2145	643	N	Y	1	5	0	9	4
Robert Farmer	318 Maple Lane	99900	352-80-3193	M	W	1	Unknown	O	2378	951	N	Y	1	5	0	9	3
Hope Coleman	975 Lake Street	99918	489-78-1999	F	M	0	Unknown	O	2127	744	N	Y	1	4	0	9	2
John Coriano	290 Cordova Lane	99928	188-79-7545	M	S	1	Skilled	O	2734	820	N	Y	1	4	0	9	1
Samuel Gorman	907 Mayfield Drive	99911	456-13-4913	M	M	0	Unknown	O	2502	1000	N	Y	1	4	0	9	1
John Brewster	988 Del Mar Blvd.	99960	459-04-1618	M	M	2	Skilled	O	2395	718	N	Y	1	4	0	9	1
Samuel Fraser	890 Del Mar Blvd.	99930	292-64-0424	M	M	2	Professional	R	2230	669	N	Y	1	4	0	9	4
Sarah Coriano	672 Green Street	99900	164-95-8892	F	M	2	Professional	O	2793	698	N	Y	1	4	0	9	1
Jerry Brown	273 Main Street	99909	260-26-6875	M	M	0	Unknown	O	2627	1050	N	Y	1	4	0	9	2
Fred Farmer	901 Park Avenue	99905	311-85-8900	M	M	1	Professional	R	2370	829	N	Y	1	3	0	9	2
Faith Anthony	854 Lake Street	99912	444-10-4734	F	M	1	Professional	O	2652	663	N	Y	1	3	0	0	1
Samuel Lewis	42 Forest St.	99900	261-87-1091	M	M	1	Unknown	R	2783	1113	N	Y	1	3	0	9	4
Alex Coleman	752 Cordova Lane	99928	160-15-0125	M	M	0	Skilled	R	2759	1103	N	Y	1	3	0	9	3
Faith Coriano	709 Lake Street	99906	335-92-9245	F	M	0	Unknown	O	2418	967	N	Y	1	3	0	9	0
John Gorman	403 Park Avenue	99905	363-24-1864	M	M	2	Professional	R	2508	877	N	Y	1	3	0	9	0
Carol Fraser	441 Maple Lane	99927	231-98-4425	F	M	1	Skilled	R	2336	817	N	Y	1	3	0	9	4
Gary Waxman	566 High View Road	99914	181-80-4420	M	W	0	Unknown	O	2313	925	N	Y	2	2	1	9	1
Sarah Brown	511 Maple Lane	99909	407-46-5019	F	W	1	Unknown	R	2774	1109	N	Y	2	2	3	9	3
Gary Waxman	377 Forest St.	99900	282-78-7174	M	M	2	Unknown	R	2270	908	N	Y	2	2	1	9	4
Sarah Baker	431 Maple Lane	99945	454-22-1612	F	M	2	Skilled	O	2643	925	N	Y	2	2	0	9	2
Joan Coleman	408 Del Mar Blvd.	99900	376-80-4333	F	M	1	Unknown	R	2853	998	N	Y	1	2	0	9	3
Anthony Coleman	836 Hill Avenue	99926	414-95-0925	M	M	1	Unknown	O	2456	859	N	Y	1	2	0	9	4
Anthony Coriano	234 Hill Avenue	99900	311-23-4370	M	M	1	Skilled	R	2600	650	N	Y	1	2	0	9	2
Alex Goldberg	858 Del Mar Blvd.	99900	353-75-0135	M	M	2	Unknown	R	2780	973	N	Y	1	2	0	9	3
Anthony Coriano	521 Mayfield Drive	99955	101-30-7849	M	M	0	Unknown	R	2534	886	N	Y	1	2	0	9	2
Mike Lewis	3 Rose Court	99912	400-92-2244	M	M	2	Unskilled	R	2162	864	N	Y	1	2	0	9	3
Alex Baker	444 Green Street	99900	359-04-1720	M	S	1	Professional	O	2369	592	N	Y	1	2	0	9	2
Joan Farmer	357 Broad Street	99906	268-52-3152	F	M	1	Unknown	O	2178	871	N	Y	1	2	0	9	4
Gary Brown	217 High View Road	99907	300-97-5027	M	M	0	Unknown	R	2526	1010	N	Y	1	2	0	9	3
Samuel Steinman	421 Cordova Lane	99914	169-35-7627	M	S	0	Unknown	R	2858	1000	N	Y	1	2	0	9	2
Mike Baker	687 High View Road	99921	301-55-5101	M	M	2	Unknown	O	2763	828	N	Y	1	2	0	9	2
Faith Brown	282 High View Road	99900	227-28-2580	F	M	1	Unknown	O	2209	773	N	Y	1	1	0	9	3
Jerry Baker	538 Lake Street	99924	338-79-4890	M	M	2	Unknown	R	2898	1159	N	Y	1	1	0	9	4
Hope Farmer	757 River Road	99910	251-66-4526	F	S	1	Professional	R	2199	549	N	Y	1	1	0	9	2
Robert Lewis	17 Lake Street	99930	297-10-6851	M	M	2	Skilled	R	2902	870	N	Y	1	1	0	9	4
Sarah Coriano	938 Forest St.	99900	389-88-8858	F	S	1	Skilled	O	7250	1812	N	Y	1	5	0	0	4
Joan Waxman	702 Rose Court	99900	187-13-4201	F	M	0	Unknown	O	8423	3369	N	Y	1	5	0	0	2
Gary Brown	20 Cordova Lane	99928	242-07-3617	M	W	2	Professional	O	6690	2007	N	Y	2	4	1	0	2
John Smith	578 Park Avenue	99910	246-24-1208	M	M	2	Professional	R	6053	1634	N	Y	1	4	0	0	1
Gary Lewis	651 Forest St.	99900	266-71-6239	M	M	1	Unknown	O	8115	2434	N	Y	1	3	0	0	5
Gary Fraser	438 High View Road	99900	382-08-0141	M	M	0	Unknown	R	4084	1633	N	Y	2	5	3	0	5
Faith Steinman	193 Cordova Lane	99914	189-82-8173	F	W	1	Unknown	O	5904	2361	N	Y	1	5	0	0	1
Jerry Farmer	30 River Road	99900	319-86-3476	M	M	2	Professional	O	5783	1445	N	Y	1	5	0	0	3
Samuel Anthony	767 Cordova Lane	99970	318-85-3390	M	M	1	Professional	O	5238	2095	N	N	3	3	2	0	3
Terrence Steinman	678 Prospect Lane	99900	170-49-5767	M	M	2	Professional	O	5045	1362	N	Y	1	3	0	0	1
Samuel Brown	771 Main Street	99909	373-92-2817	M	M	2	Manager	R	3098	774	N	Y	2	4	0	0	2
Carol Baker	66 Mayfield Drive	99900	101-70-1167	F	M	2	Manager	O	3960	1386	N	N	2	4	0	0	2
Mike Silverman	150 High View Road	99900	291-60-8447	M	M	2	Professional	R	3651	1277	N	Y	1	4	0	0	1
Carol Waxman	112 River Road	99940	386-25-7039	F	M	1	Manager	O	3526	1057	N	Y	1	3	0	0	1
Sarah Jones	511 Mayfield Drive	99911	412-77-7824	F	M	2	Skilled	O	3858	1041	N	Y	1	2	0	0	2
Samuel Smith	805 Green Street	99912	331-52-8490	M	W	1	Skilled	O	2479	867	N	Y	3	5	3	0	2
Sarah Coriano	845 Del Mar Blvd.	99975	384-40-6146	F	W	1	Unknown	O	2270	794	N	Y	1	5	0	0	2
Gary Baker	355 Del Mar Blvd.	99915	313-76-5398	M	W	1	Unknown	O	2457	859	N	Y	1	5	0	0	5
Samuel Goldberg	741 Maple Lane	99927	320-92-7565	M	S	1	Unknown	R	2766	968	N	Y	1	5	0	0	2
Carol Steinman	601 Mayfield Drive	99911	124-03-7237	F	M	1	Skilled	R	2758	965	N	Y	1	5	0	0	1
Alex Lewis	863 Green Street	99960	359-20-4558	M	W	1	Unknown	O	2986	1194	N	Y	1	5	0	0	1
Hope Fraser	159 High View Road	99921	150-04-9797	F	M	2	Skilled	R	2167	650	N	Y	1	5	0	0	5
Terrence Jones	882 Forest St.	99900	387-48-9555	M	W	1	Unknown	O	2815	1126	N	Y	1	5	0	0	4
Faith Steinman	518 Park Avenue	99910	179-54-7867	F	M	0	Unknown	O	2377	950	N	Y	1	5	0	0	2
Jerry Jones	17 Rose Court	99920	278-94-5000	M	M	0	Unknown	O	2664	1065	N	Y	1	5	0	0	3
Samuel Gorman	622 Prospect Lane	99904	247-58-3539	M	M	1	Unknown	O	2765	967	N	Y	1	5	0	0	1
Mike Coriano	448 Glen View Drive	99932	472-71-1910	M	W	0	Unknown	R	2551	1020	N	Y	1	5	0	0	2
Carol Farmer	674 Cordova Lane	99928	489-73-6037	F	M	1	Manager	R	2804	981	N	Y	1	5	0	0	3
Samuel Smith	254 Main Street	99906	229-49-0322	M	M	1	Professional	O	2502	1000	N	Y	1	5	0	0	4
Sarah Coriano	529 Rose Court	99904	243-79-9080	F	M	1	Unknown	R	2169	650	N	Y	1	4	0	0	2
Ernest Farmer	745 Park Avenue	99905	343-74-0564	M	W	0	Unknown	R	2369	947	N	Y	1	4	0	0	1
Terrence Fraser	46 Maple Lane	99936	231-04-9570	M	W	1	Skilled	R	2902	1015	N	Y	1	4	0	0	4
Terrence Brown	684 Mayfield Drive	99900	145-60-0520	M	W	1	Professional	O	2436	852	N	Y	1	4	0	0	1
John Brewster	806 Rose Court	99908	162-05-7589	M	M	1	Professional	R	2474	989	N	Y	1	4	0	0	4
Robert Brown	568 Main Street	99912	109-39-3351	M	M	2	Skilled	R	2648	1059	N	Y	1	4	0	0	2
Joan Waxman	574 Park Avenue	99920	301-46-6218	F	M	2	Manager	O	2162	583	N	N	4	3	0	0	1
Fred Smith	609 Green Street	99936	439-75-6298	M	M	1	Manager	O	2049	614	Y	Y	3	3	0	0	3
Faith Goldberg	867 River Road	99930	409-44-0874	F	M	1	Unknown	R	2740	822	N	Y	2	3	3	0	4
Samuel Steinman	996 High View Road	99900	474-46-0135	M	S	1	Professional	O	2327	628	N	Y	1	3	0	0	1
Sarah Steinman	838 Mayfield Drive	99944	321-36-9516	F	M	0	Unknown	O	2994	1197	N	Y	1	3	0	0	1
Sarah Coriano	829 Hill Avenue	99913	160-94-7060	F	M	1	Unknown	R	2106	737	N	Y	1	3	0	0	3
Anthony Gorman	562 Maple Lane	99936	341-67-9178	M	M	0	Unknown	O	2512	1004	N	Y	1	3	0	0	0
Alex Coriano	452 Cordova Lane	99928	230-18-8147	M	W	1	Skilled	O	2068	723	N	Y	1	3	0	0	3
Samuel Smith	710 Prospect Lane	99902	260-63-6211	M	M	1	Unknown	R	2594	1037	N	Y	1	3	0	0	5
Ernest Gorman	332 Park Avenue	99910	182-93-9203	M	M	2	Unknown	R	2697	674	N	Y	1	3	0	0	4
Fred Coriano	896 River Road	99920	338-91-9472	M	W	1	Unskilled	O	2414	844	N	Y	1	3	0	0	4
Hope Farmer	910 River Road	99940	108-41-7940	F	M	2	Unknown	O	2491	996	N	Y	1	2	0	0	3
Sarah Waxman	321 Mayfield Drive	99933	319-56-6978	F	M	0	Unknown	O	2048	716	N	Y	1	2	0	0	2
Faith Brown	480 Lake Street	99900	108-49-7670	F	M	1	Unknown	R	2495	873	N	Y	1	2	0	0	5
Faith Brewster	377 Hill Avenue	99965	403-81-6087	F	S	0	Unknown	O	2050	717	N	Y	1	2	0	0	3
Gary Steinman	224 Park Avenue	99910	496-92-0154	M	S	0	Unknown	R	2996	1198	N	Y	1	2	0	0	1
Jerry Silverman	633 Main Street	99909	141-26-4473	M	W	0	Unknown	O	2941	1176	N	Y	1	2	0	0	3
Ernest Smith	524 Mayfield Drive	99922	471-94-4035	M	S	0	Unknown	O	2983	1193	N	Y	1	2	0	0	3
Hope Brewster	578 River Road	99920	250-97-8846	F	M	1	Manager	O	2457	663	N	Y	1	2	0	0	1
Carol Farmer	100 Del Mar Blvd.	99960	303-69-3730	F	M	2	Unskilled	O	2598	909	N	Y	1	2	0	0	1
Gary Brown	1019 Forest St.	99900	141-58-4601	M	S	0	Unknown	R	2147	858	N	Y	1	2	0	0	2
John Jones	543 Forest St.	99900	317-21-0095	M	M	1	Professional	O	2649	715	N	Y	1	2	0	0	2
Gary Lewis	390 Rose Court	99900	261-54-3270	M	M	1	Skilled	O	2276	614	N	Y	1	2	0	0	3
Robert Farmer	959 Forest St.	99900	454-22-6388	M	M	2	Skilled	O	2537	684	N	Y	1	2	0	0	1
Carol Steinman	608 Main Street	99906	318-94-5156	F	W	1	Skilled	R	2733	737	N	Y	1	2	0	0	2
Anthony Brewster	910 River Road	99940	421-31-0571	M	M	2	Unskilled	O	2057	514	N	Y	1	2	0	0	1
Mike Fraser	783 Maple Lane	99927	268-33-1598	M	M	1	Skilled	O	2812	703	N	Y	1	1	0	0	5
Samuel Waxman	455 Glen View Drive	99940	465-25-3216	M	S	1	Manager	R	2345	938	N	Y	1	4	2	0	12
Ernest Anthony	819 Prospect Lane	99903	306-48-0741	M	M	2	Principal	O	6682	1804	Y	Y	2	5	2	8	12
Samuel Brewster	332 River Road	99920	222-82-5273	M	M	2	Principal	O	2523	1009	N	Y	1	5	1	9	12
Ernest Brewster	777 Maple Lane	99927	387-13-2540	M	M	2	Manager	O	5071	1267	Y	Y	3	4	1	9	12
Samuel Smith	938 Mayfield Drive	99922	219-26-0535	M	M	2	Principal	O	7563	2268	N	Y	1	4	3	9	12
Alex Steinman	678 Green Street	99900	318-09-6349	M	S	1	Manager	O	8835	2650	N	Y	2	5	0	3	12
John Coriano	1021 Forest St.	99900	282-16-9055	M	M	1	Manager	O	4937	1332	N	Y	1	3	0	9	12
Samuel Coriano	385 River Road	99910	275-32-6906	M	S	1	Manager	O	3673	991	Y	Y	2	3	3	6	12
Hope Fraser	146 Del Mar Blvd.	99930	275-93-6385	F	M	1	Principal	O	3475	1042	N	Y	3	5	0	8	12
John Waxman	540 Maple Lane	99900	245-90-8585	M	M	1	Principal	O	8698	3044	N	Y	2	5	2	6	12
Sarah Coleman	677 Green Street	99960	278-15-2388	F	M	2	Principal	O	6283	2199	Y	Y	4	5	0	5	12
Fred Jones	739 Rose Court	99904	261-33-5736	M	M	2	Principal	O	6981	1884	Y	Y	3	3	0	7	12
Carol Jones	636 Rose Court	99900	348-77-8828	F	M	2	Professional	O	2875	776	Y	Y	3	2	1	2	12
Sarah Brewster	190 Hill Avenue	99952	477-65-0517	F	M	2	Principal	O	6992	2097	N	Y	3	2	1	3	12
Terrence Brewster	467 Prospect Lane	99905	439-38-5960	M	M	2	Principal	O	2523	883	N	Y	3	2	3	8	12
Robert Smith	178 River Road	99940	244-53-9823	M	M	1	Principal	O	6482	2268	N	Y	2	5	0	8	12
Jerry Smith	940 Rose Court	99916	414-99-3951	M	S	3	Professional	O	2216	554	Y	Y	2	2	2	8	12
Jerry Anthony	223 High View Road	99907	110-35-4719	M	M	2	Principal	O	7370	2211	Y	Y	1	5	2	8	12
Carol Gorman	260 Maple Lane	99918	137-81-1502	F	M	2	Principal	O	6297	1889	N	Y	2	5	3	4	12
Joan Fraser	654 Hill Avenue	99900	352-43-0680	F	W	1	Principal	O	5485	1645	N	Y	1	3	3	8	12
Samuel Brewster	225 Cordova Lane	99942	137-41-4903	M	M	1	Manager	O	6932	2426	N	Y	3	5	0	4	12
Carol Farmer	858 Broad Street	99900	495-16-1329	F	M	1	Professional	R	6091	1827	N	Y	1	5	0	9	12
Mike Goldberg	338 Del Mar Blvd.	99930	132-46-1756	M	S	1	Principal	O	8849	2654	N	Y	1	5	0	9	12
Alex Anthony	650 Mayfield Drive	99922	460-16-7180	M	M	3	Manager	R	7554	2039	N	Y	1	3	2	9	12
Robert Gorman	224 Park Avenue	99910	466-79-5195	M	M	2	Professional	O	4069	1220	N	Y	1	5	1	9	12
